# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
SHIP, Industrials, Marine Shipping, 8545
SHLS, Technology, Solar, 8547
SHLX, Energy, Oil & Gas Midstream, 8548
SHMUY, Industrials, Engineering & Construction, 8549
SHO, Real Estate, REIT - Hotel & Motel, 8550
SHOO, Consumer Cyclical, Footwear & Accessories, 8553
SHOP, Technology, Software - Application, 8554
SHRG, Consumer Defensive, Household & Personal Products, 8556
SHSP, Technology, Software - Application, 8561
SHW, Basic Materials, Specialty Chemicals, 8563
SHWDY, Basic Materials, Chemicals, 8564
SHWZ, Industrials, Consulting Services, 8566
SHYF, Industrials, Farm & Heavy Construction Machinery, 8567
SHZHY, Consumer Cyclical, Textile Manufacturing, 8569
SHZUY, Financial Services, Banks - Regional, 8570
SI, Financial Services, Banks - Regional, 8571
SIBN, Healthcare, Medical Devices, 8572
SIC, Consumer Cyclical, Residential Construction, 8573
SID, Basic Materials, Steel, 8574
SIEB, Financial Services, Capital Markets, 8576
SIEGY, Industrials, Specialty Industrial Machinery, 8577
SIEN, Healthcare, Medical Devices, 8578
SIETY, Consumer Cyclical, Auto & Truck Dealerships, 8579
SIF, Industrials, Aerospace & Defense, 8580
SIFY, Communication Services, Telecom Services, 8581
SIG.L, Consumer Cyclical, Luxury Goods, 8582
SIG, Consumer Cyclical, Luxury Goods, 8583
SIGA, Healthcare, Biotechnology, 8584
SIGI, Financial Services, Insurance - Property & Casualty, 8586
SIGL, Technology, Scientific & Technical Instruments, 8587
SIGN.SW, Industrials, Conglomerates, 8588
SILC, Technology, Communication Equipment, 8591
SILK, Healthcare, Medical Devices, 8592
SILXY, Technology, Semiconductors, 8593
SIM, Basic Materials, Steel, 8594
SIMA, Industrials, Specialty Industrial Machinery, 8595
SIMO, Technology, Semiconductors, 8596
SINO, Industrials, Integrated Freight & Logistics, 8598
SINT, Healthcare, Medical Devices, 8599
SIOX, Healthcare, Biotechnology, 8600
SIRI, Communication Services, Broadcasting, 8602
SITE, Industrials, Industrial Distribution, 8604
SITM, Technology, Semiconductors, 8605
SIVB, Financial Services, Banks - Regional, 8607
SIX, Consumer Cyclical, Leisure, 8608
SJ, Communication Services, Broadcasting, 8612
SJI, Utilities, Utilities - Diversified, 8614
SJM, Consumer Defensive, Packaged Foods, 8616
SJR, Communication Services, Telecom Services, 8623
SJW, Utilities, Utilities - Regulated Water, 8624
SKBSY, Industrials, Engineering & Construction, 8627
SKFRY, Industrials, Tools & Accessories, 8628
SKHHY, Healthcare, Medical Care Facilities, 8630
SKHSY, Consumer Cyclical, Residential Construction, 8631
SKIN, Consumer Defensive, Household & Personal Products, 8632
SKLKY, Financial Services, Banks - Regional, 8633
SKLTY, Industrials, Staffing & Employment Services, 8634
SKLZ, Communication Services, Electronic Gaming & Multimedia, 8635
SKM, Communication Services, Telecom Services, 8636
SKSUY, Consumer Cyclical, Residential Construction, 8637
SKT, Real Estate, REIT - Retail, 8638
SKTP, Consumer Cyclical, Lodging, 8639
SKX, Consumer Cyclical, Footwear & Accessories, 8640
SKY, Consumer Cyclical, Residential Construction, 8641
SKYT, Technology, Semiconductors, 8643
SKYW, Industrials, Airlines, 8645
SLAB, Technology, Semiconductors, 8648
SLAC, Financial Services, Shell Companies, 8649
SLAM, Financial Services, Shell Companies, 8650
SLB, Energy, Oil & Gas Equipment & Services, 8651
SLCA, Energy, Oil & Gas Equipment & Services, 8652
SLCR, Financial Services, Shell Companies, 8653
SLCT, Financial Services, Banks - Regional, 8654
SLDB, Healthcare, Drug Manufacturers - Specialty & Generic, 8655
SLF, Financial Services, Insurance - Diversified, 8657
SLG, Real Estate, REIT - Office, 8658
SLGD, Consumer Defensive, Household & Personal Products, 8659
SLGG, Communication Services, Electronic Gaming & Multimedia, 8660
SLGL, Healthcare, Biotechnology, 8661
SLGN, Consumer Cyclical, Packaging & Containers, 8662
SLM, Financial Services, Credit Services, 8666
SLN.L, Healthcare, Biotechnology, 8669
SLN, Healthcare, Biotechnology, 8670
SLNG, Energy, Oil & Gas Integrated, 8671
SLNO, Healthcare, Biotechnology, 8672
SLOIY, Technology, Semiconductor Equipment & Materials, 8673
SLP, Healthcare, Health Information Services, 8674
SLP.L, Healthcare, Health Information Services, 8675
SLQT, Financial Services, Insurance Brokers, 8677
SLRC, Financial Services, Asset Management, 8679
SLRK, Financial Services, Banks - Regional, 8680
SLRX, Healthcare, Biotechnology, 8681
SLS.L, Healthcare, Biotechnology, 8682
SLS, Healthcare, Biotechnology, 8683
SM, Energy, Oil & Gas E&P, 8687
SMAL, Financial Services, Banks - Regional, 8688
SMAR, Technology, Software - Application, 8689
SMBC, Financial Services, Banks - Regional, 8690
SMBK, Financial Services, Banks - Regional, 8691
SMCAY, Industrials, Specialty Industrial Machinery, 8692
SMCI, Technology, Computer Hardware, 8693
SMDM, Technology, Consumer Electronics, 8694
SMED, Industrials, Waste Management, 8697
SMFG, Financial Services, Banks - Diversified, 8698
SMFKY, Consumer Cyclical, Packaging & Containers, 8699
SMG, Basic Materials, Agricultural Inputs, 8700
SMGZY, Industrials, Specialty Industrial Machinery, 8702
SMHI, Industrials, Marine Shipping, 8705
SMID, Basic Materials, Building Materials, 8708
SMIT, Technology, Scientific & Technical Instruments, 8711
SMLR, Healthcare, Medical Devices, 8714
SMMF, Financial Services, Banks - Regional, 8715
SMMNY, Healthcare, Diagnostics & Research, 8716
SMMT, Healthcare, Biotechnology, 8717
SMMYY, Basic Materials, Other Industrial Metals & Mining, 8718
SMNNY, Consumer Cyclical, Leisure, 8719
SMP, Consumer Cyclical, Auto Parts, 8720
SMP.L, Consumer Cyclical, Auto Parts, 8721
SMPL, Consumer Defensive, Packaged Foods, 8722
SMPNY, Financial Services, Insurance - Property & Casualty, 8723
SMSI, Technology, Software - Application, 8729
SMSMY, Basic Materials, Steel, 8730
SMTC, Technology, Semiconductors, 8733
SMTI, Healthcare, Medical Care Facilities, 8734
SMTOY, Consumer Cyclical, Auto Parts, 8735
SMTS, Basic Materials, Other Industrial Metals & Mining, 8736
SMWB, Communication Services, Internet Content & Information, 8739
SNA, Industrials, Tools & Accessories, 8742
SNAP, Communication Services, Internet Content & Information, 8743
SNAP, Communication Services, Internet Content & Information, 8744
SNBR, Consumer Cyclical, Furnishings, Fixtures & Appliances, 8747
SNCR, Technology, Software - Application, 8748
SNCY, Industrials, Airlines, 8749
SND, Energy, Oil & Gas Equipment & Services, 8750
SNDL, Healthcare, Drug Manufacturers - Specialty & Generic, 8751
SNDR, Industrials, Trucking, 8752
SNDX, Healthcare, Biotechnology, 8753
SNES, Basic Materials, Specialty Chemicals, 8754
SNEX, Financial Services, Capital Markets, 8755
SNFCA, Financial Services, Credit Services, 8756
SNGX, Healthcare, Biotechnology, 8760
SNII, Financial Services, Shell Companies, 8761
SNMCY, Financial Services, Insurance - Property & Casualty, 8763
SNN.L, Healthcare, Medical Devices, 8764
SNN, Healthcare, Medical Devices, 8765
SNNF, Financial Services, Banks - Regional, 8766
SNNY, Financial Services, Banks - Regional, 8767
SNOA, Healthcare, Drug Manufacturers - Specialty & Generic, 8768
SNOW, Technology, Software - Application, 8769
SNP, Energy, Oil & Gas Integrated, 8770
SNPHY, Healthcare, Drug Manufacturers - General, 8771
SNPR, Financial Services, Shell Companies, 8772
SNPS, Technology, Software - Infrastructure, 8773
SNR.L, Real Estate, REIT - Residential, 8774
SNRH, Financial Services, Shell Companies, 8775
SNSE, Healthcare, Biotechnology, 8776
SNV, Financial Services, Banks - Regional, 8777
SNX, Technology, Information Technology Services, 8781
SNY, Healthcare, Drug Manufacturers - General, 8782
SO.PA, Utilities, Utilities - Regulated Electric, 8783
SO, Utilities, Utilities - Regulated Electric, 8784
SOAC, Financial Services, Shell Companies, 8786
SOBKY, Communication Services, Telecom Services, 8787
SOBS, Financial Services, Banks - Regional, 8788
SOFO, Technology, Software - Application, 8790
SOGO, Communication Services, Internet Content & Information, 8791
SOHO.L, Real Estate, REIT - Hotel & Motel, 8792
SOHU, Communication Services, Internet Content & Information, 8793
SOHVY, Industrials, Specialty Industrial Machinery, 8794
SOI.PA, Energy, Oil & Gas Equipment & Services, 8795
SOI.L, Energy, Oil & Gas Equipment & Services, 8796
SOI, Energy, Oil & Gas Equipment & Services, 8797
SOL, Technology, Solar, 8799
SOL, Technology, Solar, 8800
SOLO, Consumer Cyclical, Auto Manufacturers, 8803
SOLVY, Basic Materials, Chemicals, 8804
SOLY, Healthcare, Medical Devices, 8805
SOMC, Financial Services, Banks - Regional, 8807
SOMLY, Industrials, Security & Protection Services, 8808
SON, Consumer Cyclical, Packaging & Containers, 8809
SONM, Technology, Communication Equipment, 8811
SONN, Healthcare, Biotechnology, 8812
SONO, Technology, Consumer Electronics, 8813
SONVY, Healthcare, Medical Instruments & Supplies, 8814
SONY, Technology, Consumer Electronics, 8815
SORT, Industrials, Business Equipment & Supplies, 8818
SOS.L, Technology, Software - Infrastructure, 8819
SOS, Technology, Software - Infrastructure, 8820
SOTGY, Technology, Electronic Components, 8821
SOTK, Technology, Scientific & Technical Instruments, 8822
SOWG, Consumer Defensive, Packaged Foods, 8825
SP, Industrials, Specialty Business Services, 8829
SPAQ, Financial Services, Shell Companies, 8832
SPB, Consumer Defensive, Household & Personal Products, 8833
SPCB, Industrials, Security & Protection Services, 8835
SPCE, Industrials, Aerospace & Defense, 8836
SPCO, Consumer Defensive, Household & Personal Products, 8837
SPEC.L, Technology, Scientific & Technical Instruments, 8841
SPFI, Financial Services, Banks - Regional, 8848
SPFR, Financial Services, Shell Companies, 8849
SPG, Real Estate, REIT - Retail, 8850
SPGI, Financial Services, Financial Data & Stock Exchanges, 8851
SPGS, Financial Services, Shell Companies, 8852
SPGZ, Consumer Cyclical, Specialty Retail, 8853
SPH, Utilities, Utilities - Regulated Gas, 8854
SPHRY, Healthcare, Biotechnology, 8855
SPI.L, Technology, Solar, 8856
SPI, Technology, Solar, 8857
SPI, Technology, Solar, 8858
SPKB, Financial Services, Shell Companies, 8860
SPKE, Utilities, Utilities - Regulated Electric, 8861
SPLK, Technology, Software - Infrastructure, 8862
SPND, Energy, Oil & Gas E&P, 8864
SPNE, Healthcare, Medical Devices, 8865
SPNS, Technology, Software - Application, 8866
SPNT, Financial Services, Insurance - Reinsurance, 8867
SPNV, Financial Services, Shell Companies, 8868
SPOK, Communication Services, Telecom Services, 8870
SPOT, Communication Services, Internet Content & Information, 8871
SPPI, Healthcare, Biotechnology, 8872
SPR.L, Industrials, Aerospace & Defense, 8876
SPR.DE, Industrials, Aerospace & Defense, 8877
SPR, Industrials, Aerospace & Defense, 8878
SPRB, Healthcare, Biotechnology, 8879
SPRO, Healthcare, Biotechnology, 8880
SPRQ, Financial Services, Shell Companies, 8881
SPRS, Technology, Electronics & Computer Distribution, 8882
SPRT, Technology, Software - Application, 8883
SPRWF, Healthcare, Drug Manufacturers - Specialty & Generic, 8884
SPSC, Technology, Software - Infrastructure, 8885
SPT, Technology, Software - Application, 8887
SPT.L, Technology, Software - Application, 8888
SPTK, Financial Services, Shell Companies, 8889
SPTN, Consumer Defensive, Food Distribution, 8890
SPWH, Consumer Cyclical, Leisure, 8891
SPWR, Technology, Solar, 8892
SPXC, Industrials, Specialty Industrial Machinery, 8894
SPXP.L, Basic Materials, Other Industrial Metals & Mining, 8897
SQ, Technology, Software - Infrastructure, 8909
SQBG, Consumer Cyclical, Apparel Manufacturing, 8911
SQCF, Financial Services, Banks - Regional, 8912
SQFT, Real Estate, REIT - Diversified, 8913
SQM, Basic Materials, Chemicals, 8914
SQNNY, Communication Services, Electronic Gaming & Multimedia, 8915
SQNS, Technology, Semiconductors, 8916
SQZ.L, Healthcare, Biotechnology, 8919
SQZ, Healthcare, Biotechnology, 8920
SR, Utilities, Utilities - Regulated Gas, 8921
SRAC, Financial Services, Shell Companies, 8922
SRAX, Communication Services, Advertising Agencies, 8924
SRC, Real Estate, REIT - Diversified, 8925
SRCE, Financial Services, Banks - Regional, 8926
SRCL, Industrials, Waste Management, 8927
SRDX, Healthcare, Medical Devices, 8930
SRE.L, Utilities, Utilities - Diversified, 8931
SRE, Utilities, Utilities - Diversified, 8932
SREDY, Financial Services, Financial Conglomerates, 8933
SREV, Technology, Software - Application, 8936
SRG, Real Estate, REIT - Retail, 8937
SRGA, Healthcare, Medical Devices, 8938
SRGHY, Consumer Cyclical, Department Stores, 8939
SRI, Consumer Cyclical, Auto Parts, 8940
SRL, Financial Services, Capital Markets, 8941
SRNA, Industrials, Farm & Heavy Construction Machinery, 8942
SRNE, Healthcare, Biotechnology, 8943
SRNG, Financial Services, Shell Companies, 8944
SRNN, Financial Services, Banks - Regional, 8945
SRPT, Healthcare, Biotechnology, 8947
SRRA, Healthcare, Biotechnology, 8948
SRRE, Real Estate, Real Estate - Diversified, 8949
SRRK, Healthcare, Biotechnology, 8950
SRSA, Financial Services, Shell Companies, 8951
SRSA.L, Financial Services, Shell Companies, 8952
SRT.L, Industrials, Specialty Business Services, 8953
SRT, Industrials, Specialty Business Services, 8954
SRTS, Healthcare, Medical Devices, 8956
SRTTY, Consumer Cyclical, Internet Retail, 8957
SRYB, Financial Services, Banks - Regional, 8958
SSAA, Financial Services, Shell Companies, 8959
SSB, Financial Services, Banks - Regional, 8961
SSBI, Financial Services, Banks - Regional, 8962
SSBP, Financial Services, Banks - Regional, 8963
SSD, Industrials, Building Products & Equipment, 8964
SSDOY, Consumer Defensive, Household & Personal Products, 8965
SSEZY, Utilities, Utilities - Diversified, 8967
SSKN, Healthcare, Medical Devices, 8973
SSL, Energy, Oil & Gas Integrated, 8974
SSMXY, Healthcare, Diagnostics & Research, 8976
SSNC, Technology, Software - Application, 8977
SSNT, Technology, Software - Application, 8978
SSP, Communication Services, Broadcasting, 8980
SSPK, Financial Services, Shell Companies, 8982
SSREY, Financial Services, Insurance - Reinsurance, 8985
SSSS, Financial Services, Asset Management, 8986
SSTI, Technology, Software - Application, 8988
SSTK, Communication Services, Internet Content & Information, 8989
SSUMY, Industrials, Conglomerates, 8991
SSY, Healthcare, Pharmaceutical Retailers, 8992
SSYS, Technology, Computer Hardware, 8993
ST, Technology, Scientific & Technical Instruments, 8994
STAA, Healthcare, Medical Instruments & Supplies, 8996
STAF, Industrials, Staffing & Employment Services, 8997
STAF.L, Industrials, Staffing & Employment Services, 8998
STAG, Real Estate, REIT - Industrial, 8999
STAR.L, Real Estate, REIT - Diversified, 9001
STBA, Financial Services, Banks - Regional, 9004
STBFY, Consumer Defensive, Beverages - Brewers, 9005
STBI, Financial Services, Banks - Regional, 9006
STC, Financial Services, Insurance - Property & Casualty, 9007
STCN, Industrials, Conglomerates, 9009
STE, Healthcare, Medical Instruments & Supplies, 9010
STEM.L, Technology, Software - Infrastructure, 9011
STEM, Technology, Software - Infrastructure, 9012
STEP, Financial Services, Asset Management, 9013
STFC, Financial Services, Insurance - Property & Casualty, 9014
STG, Consumer Defensive, Education & Training Services, 9015
STIC, Financial Services, Shell Companies, 9019
STIM, Healthcare, Diagnostics & Research, 9020
STKS, Consumer Cyclical, Restaurants, 9022
STL, Financial Services, Banks - Regional, 9023
STLA, Consumer Cyclical, Auto Manufacturers, 9024
STLD, Basic Materials, Steel, 9025
STLY, Financial Services, Shell Companies, 9026
STM.DE, Technology, Semiconductors, 9027
STM, Technology, Semiconductors, 9028
STMH, Healthcare, Drug Manufacturers - Specialty & Generic, 9029
STMP, Technology, Software - Application, 9031
STND, Financial Services, Banks - Regional, 9032
STNE, Technology, Software - Application, 9033
STNG, Energy, Oil & Gas Midstream, 9034
STOK, Healthcare, Biotechnology, 9036
STON, Consumer Cyclical, Personal Services, 9037
STOR, Real Estate, REIT - Diversified, 9038
STPC, Financial Services, Shell Companies, 9039
STRA, Consumer Defensive, Education & Training Services, 9042
STRE, Financial Services, Shell Companies, 9043
STRL, Industrials, Engineering & Construction, 9044
STRM, Healthcare, Health Information Services, 9045
STRNY, Utilities, Utilities - Regulated Water, 9046
STRO, Healthcare, Biotechnology, 9047
STRR, Healthcare, Medical Devices, 9048
STRS, Real Estate, Real Estate - Diversified, 9049
STRT, Consumer Cyclical, Auto Parts, 9050
STSA, Healthcare, Biotechnology, 9052
STT, Financial Services, Asset Management, 9055
STTK, Healthcare, Biotechnology, 9056
